UserName,is_gray_scale,H_360_mean,S_100_mean,V_100_mean,P,A,D,H_360_std,S_100_std,V_100_std,H_mean,H_std,yellow,green,cyan,blue,magenta,red,H12_Orange,H12_Yellow,H12_Chartreuse_Green,H12_Green,H12_Spring_Green,H12_Cyan,H12_Azure,H12_Blue,H12_Violet,H12_Magenta,H12_Rose,H12_Red,H_count,Log_H_count
10024349@N08,0,94.10362515,38.73421288,49.91652348,42.96392804,7.766405451,-25.54160972,60.78293457,22.13934422,23.97552611,0.261398959,0.168841485,0.448034366,0.062235151,0.135821422,0.146201066,0.003932291,0.203775703,0.445608273,0.125415285,0.083630391,0.014238642,0.004544656,0.008974715,0.235672928,0.033704815,0.002839242,0.000645662,0.005538854,0.039186538,4.621621622,1.379112772
10276398@N02,0,109.0294159,27.79843493,47.70709121,39.03354862,1.889862682,-27.36189014,79.40328322,16.82080154,23.74992091,0.302859489,0.220564676,0.355217304,0.028365762,0.144711949,0.141352181,0.02456694,0.305785863,0.415166925,0.106794751,0.037907336,0.012036098,0.014611272,0.043113518,0.187453524,0.033385688,0.018266714,0.00681458,0.029605411,0.094844182,4.890625,1.428006779
11135829@N03,0,102.091383,34.16032173,41.66086643,36.26126862,7.581324442,-20.73095554,81.04960533,22.76346866,23.0548637,0.283587175,0.225137793,0.229264908,0.029003517,0.107329993,0.160366625,0.012124414,0.461910546,0.432356441,0.046921431,0.025812165,0.009013278,0.0223875,0.036216988,0.159869739,0.043584718,0.016945028,0.004580444,0.014770063,0.187542202,4.95959596,1.435795205
13655984@N08,0,89.61862576,37.5507482,47.99899887,41.38047382,7.650759273,-24.46299971,87.94072302,24.58307793,25.8244056,0.248940627,0.244279786,0.34508015,0.043934882,0.033218195,0.085477595,0.017897519,0.474391657,0.496231883,0.093660442,0.033162699,0.023894695,0.013577672,0.013938256,0.071808121,0.021693527,0.011951072,0.006714828,0.021026504,0.1923403,5.321428571,1.486879321
13796992@N03,0,101.1059185,32.31471539,53.58201107,44.08082502,2.778405805,-30.38161948,79.81027283,22.11931191,22.40736355,0.280849773,0.221695202,0.256512584,0.082963618,0.181725343,0.157075228,0.01329913,0.308424091,0.251916227,0.10873032,0.072022418,0.041255409,0.034043061,0.06308672,0.24529707,0.009447078,0.003934437,0.002433763,0.019282567,0.148550922,5.153846154,1.410582097
14663382@N03,0,146.7765351,39.85032151,39.90008888,36.29813206,11.54116535,-17.57196467,106.473029,25.09969661,27.89910789,0.407712598,0.295758414,0.249409379,0.020101583,0.179029582,0.193827938,0.040264153,0.317367363,0.302681992,0.072577285,0.013236298,0.007922918,0.017978812,0.039937895,0.246002038,0.066054515,0.015702472,0.016079462,0.040480472,0.161345839,6.875,1.786019588
20954762@N05,0,101.2105974,33.87240367,48.10165334,40.64206961,5.411929665,-25.71808736,85.37243661,22.86112222,22.40991248,0.281140548,0.237145657,0.378693832,0.016301828,0.092355262,0.123453215,0.013452164,0.375743699,0.528446232,0.085352407,0.019079987,0.005838393,0.006843775,0.017068924,0.163611375,0.027927503,0.004606398,0.00446132,0.016074775,0.120688909,5.192307692,1.518769635
21595017@N08,0,91.65910365,37.30717695,52.56805595,44.47953753,6.088208823,-28.0134259,66.1668768,24.40865039,27.20650515,0.254608621,0.18379688,0.293121812,0.033998334,0.146986523,0.199026935,0.025099488,0.301766907,0.339281564,0.087714637,0.036256803,0.009303776,0.005666472,0.055498748,0.242100661,0.042032531,0.007174072,0.013326798,0.017767377,0.143876565,4.456140351,1.320807712
21949303@N06,0,95.28008982,46.38624387,62.43413642,53.28452778,8.477164032,-32.60634564,75.50065233,25.68899546,26.18671769,0.264666916,0.209724034,0.244367322,0.052735522,0.122830526,0.177233655,0.018180679,0.384652297,0.271210028,0.082791525,0.026999111,0.033324023,0.017559768,0.048030261,0.156127281,0.08249737,0.006494839,0.007288808,0.025539099,0.242137885,5.040609137,1.388104068
23447891@N02,0,96.92967853,27.82661051,50.2157118,40.77069545,1.129095648,-29.2594256,77.32774467,24.01205797,30.55399931,0.269249107,0.214799291,0.400087677,0.023468807,0.064059416,0.198608907,0.00271915,0.311056043,0.490461821,0.091139273,0.048089935,0.007659459,0.003615095,0.006732324,0.203508038,0.047184658,0.005004728,0.000745874,0.003337293,0.0925215,4.210526316,1.290930571
25522034@N03,0,99.02152839,37.36258797,55.17491908,46.29046352,5.313327864,-29.97691035,76.4869739,22.20824877,22.98984884,0.275059801,0.212463816,0.310205037,0.015722987,0.109692829,0.185028898,0.00655348,0.372796771,0.46794381,0.061474263,0.014903693,0.005439714,0.009888075,0.033033177,0.211666635,0.042790662,0.003335526,0.001885994,0.012926599,0.134711852,4.452554745,1.341204583
26388949@N05,0,116.0335555,34.9613271,47.78458987,40.66285898,6.163573398,-25.12866363,100.1934419,25.23934009,26.124591,0.322315432,0.278315116,0.13892138,0.010626113,0.146810212,0.109765609,0.033010987,0.560865698,0.389904386,0.039499399,0.00876576,0.002603932,0.014415231,0.046401315,0.160651776,0.031954468,0.013936247,0.005543954,0.038454364,0.247869175,4.307692308,1.34025085
27057665@N04,0,117.7764595,21.42794482,65.92037649,50.19920764,-7.578549816,-43.24254379,82.54596089,18.09682268,21.41447318,0.327156832,0.229294336,0.388535669,0.035076047,0.193508096,0.121336089,0.004463957,0.257080139,0.284553701,0.168397524,0.094266397,0.007767858,0.007406777,0.089803317,0.201183274,0.017368553,0.002401054,0.001119967,0.010113232,0.115618345,5.310810811,1.525591711
30996741@N02,0,110.6926807,35.11649693,50.2957476,42.42969517,5.478216403,-26.98748916,78.50086828,20.04455719,23.92876783,0.307479669,0.218057967,0.449495209,0.090681752,0.041586153,0.093481038,0.031512962,0.293242884,0.367591703,0.168122613,0.142659099,0.030048786,0.007198999,0.01042729,0.098622499,0.019291257,0.011443221,0.017069734,0.023005272,0.104519527,5.094420601,1.4812455
31297400@N03,0,108.8074726,33.78598724,47.96378824,40.52793108,5.402817992,-25.64096315,79.11870162,21.6874507,23.43413207,0.30224298,0.219774171,0.390918366,0.020726108,0.099060224,0.157415338,0.015259581,0.316620381,0.451518792,0.117890293,0.033001996,0.006219695,0.009444933,0.014902652,0.194806141,0.037008655,0.00717395,0.006619172,0.012958818,0.108454904,5.054945055,1.457007479
32190615@N04,0,121.7829909,22.81345625,50.70519104,40.00554219,-2.030535472,-31.23563919,74.25437217,17.79343515,22.28968132,0.338286086,0.206262145,0.474765977,0.036534742,0.106411371,0.212293498,0.008981721,0.16101269,0.340524022,0.179727038,0.068078114,0.009773295,0.02014894,0.024303154,0.208619804,0.071321959,0.006468336,0.002552132,0.010462385,0.058020822,5.2,1.459545785
33423611@N00,0,94.04130617,33.48523998,54.28119234,44.82077551,3.263974363,-30.53842939,73.00704802,22.90833328,25.96027441,0.26122585,0.202797356,0.370778156,0.041841892,0.142175174,0.103064004,0.016618703,0.325522072,0.424392686,0.120885831,0.038566882,0.016589377,0.025502214,0.055914053,0.139563378,0.030539768,0.008631661,0.007141665,0.013517565,0.118754922,4.825,1.408275243
33488374@N03,0,78.49129029,21.04755455,43.84294017,34.88209072,-0.962778724,-26.58541708,55.66713337,15.30036421,27.63296822,0.218031362,0.154630926,0.492523722,0.112478904,0.117277413,0.049217401,0.013393818,0.215108742,0.256182543,0.291383265,0.089011999,0.061639656,0.032367296,0.069908419,0.042839639,0.028585685,0.010288673,0.004511919,0.013966164,0.099314745,3.814814815,1.066263741
41092212@N06,0,115.5563678,26.08017075,52.89477955,42.23503546,-0.749279211,-31.85437782,81.5431241,19.84109926,24.13729198,0.320989911,0.226508678,0.302012553,0.048126257,0.150133535,0.171712446,0.02162363,0.306391579,0.372476396,0.081993403,0.055419676,0.012738274,0.014203178,0.034623865,0.225053734,0.039582192,0.019979273,0.006814557,0.021138397,0.115977057,4.766839378,1.396537022
42957889@N05,0,131.3883599,53.90245353,52.51110531,48.09120244,16.06302947,-22.65965491,68.12207034,23.48189887,20.69784725,0.364967666,0.189227973,0.271142498,0.074779207,0.247864257,0.149947267,0.027318887,0.228947884,0.234035313,0.117393557,0.067859628,0.03164016,0.046595107,0.09841146,0.220933241,0.042075139,0.015076832,0.011683831,0.02292821,0.091367526,5.711442786,1.563672532
